CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0048,0.9999996779514239
C0001,C0055,0.999999728816517
C0001,C0189,0.9999997450981405
C0002,C0025,0.9999990503649573
C0002,C0031,0.9999991629353845
C0002,C0133,0.9999993194603733
C0003,C0031,0.999999722327915
C0003,C0158,0.9999998467995403
C0003,C0166,0.9999999618682786
C0004,C0104,0.9999997550334447
C0004,C0017,0.999999877626187
C0004,C0113,0.9999998828327635
C0005,C0120,0.999999571019207
C0005,C0007,0.9999998832777106
C0005,C0196,0.9999999921773605
C0006,C0079,0.9999998428800919
C0006,C0195,0.9999998453946851
C0006,C0135,0.9999998914230218
C0007,C0050,0.9999996177605872
C0007,C0196,0.9999998150207652
C0007,C0005,0.9999998832777106
C0008,C0141,0.9999977806547846
C0008,C0065,0.9999985855308915
C0008,C0175,0.9999988678438623
C0009,C0062,0.9999954032348188
C0009,C0032,0.9999955292389111
C0009,C0077,0.9999963359998666
C0010,C0002,0.9999972390703821
C0010,C0092,0.9999980949214736
C0010,C0029,0.9999989983255166
C0011,C0174,0.9999995642784388
C0011,C0171,0.9999996868533824
C0011,C0064,0.9999997967807784
C0012,C0090,0.9999995961395761
C0012,C0041,0.9999996401581899
C0012,C0122,0.9999996795233014
C0013,C0143,0.9999996745178055
C0013,C0087,0.9999996911966629
C0013,C0045,0.9999997558924814
C0014,C0080,0.9999953964690278
C0014,C0110,0.9999956864457499
C0014,C0151,0.9999982393280363
C0015,C0063,0.9999986598617322
C0015,C0089,0.9999987387677589
C0015,C0123,0.9999999103716622
C0016,C0048,0.9999998077807506
C0016,C0107,0.9999999920424061
C0016,C0182,0.9999999999342067
C0017,C0021,0.9999998606198043
C0017,C0113,0.9999998704985584
C0017,C0004,0.999999877626187
C0018,C0048,0.9999998173303053
C0018,C0114,0.9999998449843837
C0018,C0148,0.9999998727016461
C0019,C0116,0.9999966556117384
C0019,C0118,0.9999968344250798
C0019,C0126,0.9999968993756235
C0020,C0078,0.9999983601718572
C0020,C0080,0.9999983775791886
C0020,C0130,0.9999996650153407
